id,name,isin,symbol,from,to
1748182,EOS Imaging,FR0011191766,EOSI,1971-01-06/P1D,2021-01-06T16:28:12.8727654+01:00
255979,Eramet,FR0000131757,ERA,1971-01-06/P1D,2021-01-06T16:28:16.1080561+01:00
2198408,Erytech Pharma,FR0011471135,ERYP,1971-01-06/P1D,2021-01-06T16:28:19.5713663+01:00
867154,ESI Group,FR0004110310,ESI,1971-01-06/P1D,2021-01-06T16:28:22.8606602+01:00
65079,Essilor,FR0000121667,EL,1971-01-06/P1D,2021-01-06T16:28:25.8871481+01:00
255894,Esso,FR0000120669,ES,1971-01-06/P1D,2021-01-06T16:28:28.8842649+01:00
65055,Eurazeo,FR0000121121,RF,1971-01-06/P1D,2021-01-06T16:28:32.197557+01:00
5113448,Euronext,NL0006294274,ENX,1971-01-06/P1D,2021-01-06T16:28:35.2670544+01:00
867717,EuropaCorp,FR0010490920,ECP,1971-01-06/P1D,2021-01-06T16:28:38.2243174+01:00
7072547,Europcar Groupe,FR0012789949,EUCAR,1971-01-06/P1D,2021-01-06T16:28:54.8336387+01:00
262997,Eutelsat Communications,FR0010221234,ETL,1971-01-06/P1D,2021-01-06T16:29:03.3576605+01:00
255903,Faurecia,FR0000121147,EO,1971-01-06/P1D,2021-01-06T16:29:06.3330259+01:00
5028240,Fermentalg,FR0011271600,FALG,1971-01-06/P1D,2021-01-06T16:29:12.3229195+01:00
255651,FFP S.A.,FR0000064784,FFP,1971-01-06/P1D,2021-01-06T16:29:15.174192+01:00
4913260,Figeac Aéro,FR0011665280,FGA,1971-01-06/P1D,2021-01-06T16:29:18.0464708+01:00
866209,Fleury Michon,FR0000074759,FLE,1971-01-06/P1D,2021-01-06T16:29:21.0127531+01:00
1538408,Foncière Paris Nord,FR0011277391,FPN,1971-01-06/P1D,2021-01-06T16:29:23.9830393+01:00
10498398,Française de l’Energie,FR0013030152,LFDE,1971-01-06/P1D,2021-01-06T16:29:31.4515228+01:00
4995703,Gaztransport & Technigaz,FR0011726835,GTT,1971-01-06/P1D,2021-01-06T16:29:36.829869+01:00
68274,Gecina,FR0010040865,GFC,1971-01-06/P1D,2021-01-06T16:29:39.6131304+01:00
867737,Generix,FR0010501692,GENX,1971-01-06/P1D,2021-01-06T16:29:47.807927+01:00
10160332,GeNeuro,CH0308403085,GNRO,1971-01-06/P1D,2021-01-06T16:29:50.5771923+01:00
867175,Genfit,FR0004163111,GNFT,1971-01-06/P1D,2021-01-06T16:29:53.2576249+01:00
5022625,Genomic Vision,FR0011799907,GV,1971-01-06/P1D,2021-01-06T16:29:56.1069027+01:00
10885382,GenSight Biologics,FR0013183985,SIGHT,1971-01-06/P1D,2021-01-06T16:29:58.9591732+01:00
79478,GETLINK SE,FR0010533075,GET,1971-01-06/P1D,2021-01-06T16:30:01.6304357+01:00
866163,GL Events,FR0000066672,GLO,1971-01-06/P1D,2021-01-06T16:30:04.4817066+01:00
866015,Grenobloise d'Electronique et d'Automatismes,FR0000053035,GEA,1971-01-06/P1D,2021-01-06T16:30:11.371066+01:00
865933,Groupe Crit,FR0000036675,CEN,1971-01-06/P1D,2021-01-06T16:30:18.0136716+01:00
258554,Groupe Flo,FR0004076891,FLO,1971-01-06/P1D,2021-01-06T16:30:26.170678+01:00
4610049,Groupe Fnac,FR0011476928,FNAC,1971-01-06/P1D,2021-01-06T16:30:29.002927+01:00
866092,Groupe Gorgé,FR0000062671,GOE,1971-01-06/P1D,2021-01-06T16:30:31.8771911+01:00
866217,GROUPE LDLC,FR0000075442,LDL,1971-01-06/P1D,2021-01-06T16:30:34.6934493+01:00
867137,Groupe Open,FR0004050300,OPN,1971-01-06/P1D,2021-01-06T16:30:43.8676115+01:00
5774494,Groupe Partouche,FR0012612646,PARP,1971-01-06/P1D,2021-01-06T16:30:47.1425587+01:00
867163,Groupe SFPI,FR0004155000,SFPI,1971-01-06/P1D,2021-01-06T16:30:52.0469516+01:00
255237,Guerbet,FR0000032526,GBT,1971-01-06/P1D,2021-01-06T16:30:55.4942619+01:00
866166,Guillemot,FR0000066722,GUI,1971-01-06/P1D,2021-01-06T16:31:02.8169203+01:00
255702,Haulotte Group,FR0000066755,PIG,1971-01-06/P1D,2021-01-06T16:31:06.5952573+01:00
255435,Hermès International,FR0000052292,RMS,1971-01-06/P1D,2021-01-06T16:31:09.822556+01:00
865957,HF Company,FR0000038531,HF,1971-01-06/P1D,2021-01-06T16:31:13.0778509+01:00
866032,High Co,FR0000054231,HCO,1971-01-06/P1D,2021-01-06T16:31:17.222843+01:00
7388348,HiMedia Group,FR0012821890,HIM,1971-01-06/P1D,2021-01-06T16:31:23.3225824+01:00
7388349,HiPay Group,FR0012821916,HIPAY,1971-01-06/P1D,2021-01-06T16:31:26.975027+01:00
866142,Hopscotch Groupe,FR0000065278,HOP,1971-01-06/P1D,2021-01-06T16:31:29.8803885+01:00
255271,Icade,FR0000035081,ICAD,1971-01-06/P1D,2021-01-06T16:31:36.3561749+01:00
1748429,ID Logistics,FR0010929125,IDL,1971-01-06/P1D,2021-01-06T16:31:40.2133196+01:00
866002,IDI S.C.A.,FR0000051393,IDIP,1971-01-06/P1D,2021-01-06T16:31:43.4823004+01:00
258506,Iliad,FR0004035913,ILD,1971-01-06/P1D,2021-01-06T16:31:46.3936434+01:00
65049,Imerys,FR0000120859,NK,1971-01-06/P1D,2021-01-06T16:31:49.6870473+01:00
